"","fragment type","fragment","mass1","mass2","delta","mz_range","Mass1_intensity","Mass2_intensity"
"1","three_Bn_NOTA","1743","146565.9219","148305.9531","1740.03120000003","5",0,1595.8269
"2","Bn_NOTA_Cu","643","146565.9219","147206.0625","640.140600000013","5",0,25721.8633
"11","two_Bn_NOTA_Cu","1286","146565.9219","147849","1283.07810000001","5",0,20470.8574
"3","Bn_NOTA_Cu","643","146694.8906","147338.3906","643.5","5",0,26169.8672
"12","two_Bn_NOTA_Cu","1286","146694.8906","147977.625","1282.73439999999","5",0,25312.9023
"4","Bn_NOTA_Cu","643","146821.9531","147464.0625","642.109399999987","5",0,37829.4336
"13","two_Bn_NOTA_Cu","1286","146821.9531","148107.0938","1285.14069999999","5",0,26416.7422
"5","Bn_NOTA_Cu","643","146996.1406","147634.1875","638.046899999987","5",5186.8584,12682.9004
"14","two_Bn_NOTA_Cu","1286","146996.1406","148279.1875","1283.04689999999","5",5186.8584,15929.6758
"6","Bn_NOTA_Cu","643","147206.0625","147849","642.9375","5",25721.8633,20470.8574
"15","two_Bn_NOTA_Cu","1286","147326.1875","148607.5156","1281.32810000001","5",14433.7617,7583.999
"7","Bn_NOTA_Cu","643","147338.3906","147977.625","639.234399999987","5",26169.8672,25312.9023
"8","Bn_NOTA_Cu","643","147464.0625","148107.0938","643.031300000002","5",37829.4336,26416.7422
"9","Bn_NOTA_Cu","643","147634.1875","148279.1875","645","5",12682.9004,15929.6758
"10","Bn_NOTA_Cu","643","147780.7813","148424.9844","644.203099999984","5",14573.8418,13182.3594
